op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,ApplyMomentum,ApplyMomentum-op116,Default/optimizer-Momentum/ApplyMomentum-op116,5625,471.52,0.0838257,0.00261671,Default,62
Host,ApplyMomentum,ApplyMomentum-op103,Default/optimizer-Momentum/ApplyMomentum-op103,5625,8.43171,0.00149897,4.6792e-05,Default,62
Host,ApplyMomentum,ApplyMomentum-op108,Default/optimizer-Momentum/ApplyMomentum-op108,5625,17.08,0.00303645,9.4786e-05,Default,62
Host,MatMul,MatMul-op106,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op106,5625,832.716,0.148038,0.00462118,Default,62
Host,Conv2D,Conv2D-op86,Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/Conv2D-op86,5625,7706.02,1.36996,0.0427647,Default,62
Host,MatMul,MatMul-op107,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op107,5625,377.943,0.0671898,0.0020974,Default,62
Host,BiasAddGrad,BiasAddGrad-op100,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op100,5625,14.8515,0.00264026,8.24186e-05,Default,62
Host,ReluGrad,ReluGrad-op109,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op109,5625,22.8595,0.00406391,0.000126859,Default,62
Host,MatMul,MatMul-op102,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op102,5625,71.7005,0.0127468,0.000397904,Default,62
Host,ApplyMomentum,ApplyMomentum-op120,Default/optimizer-Momentum/ApplyMomentum-op120,5625,11.4729,0.00203962,6.36689e-05,Default,62
Host,MaxPoolGrad,MaxPoolGrad-op115,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op115,5625,4780.69,0.849901,0.0265306,Default,62
